episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.14,0.2857142857142857,0.0,17.0,1.0,0.0,0.0,980.0,1179.9999999999998,1.0,0.12242674827575684,100
1,0.14,0.21428571428571427,0.0,26.333333333333332,1.0,0.0,0.0,1010.0,1130.0,1.0,0.12494921684265137,100
2,0.03,0.0,0.0,0.0,1.0,0.0,0.0,100.0,979.9999999999997,1.0,0.12302732467651367,100
3,0.03,0.3333333333333333,0.0,40.0,1.0,0.0,0.0,-10.0,1079.9999999999998,1.0,0.1193087100982666,100
4,0.03,0.0,0.0,0.0,1.0,0.0,0.0,50.0,979.9999999999997,1.0,0.11644768714904785,100
5,0.04,0.25,0.0,17.0,1.0,0.0,0.0,110.0,1129.9999999999998,1.0,0.13576412200927734,100
6,0.04,0.0,0.0,0.0,1.0,0.0,0.0,220.0,1029.9999999999998,1.0,0.12393736839294434,100
7,0.01,0.0,0.0,0.0,1.0,0.0,0.0,-80.0,1029.9999999999998,1.0,0.11448025703430176,100
8,0.06,0.16666666666666666,0.0,10.0,1.0,0.0,0.0,320.0,1029.9999999999998,1.0,0.11855053901672363,100
9,0.06,0.0,0.0,0.0,1.0,0.0,0.0,450.0,979.9999999999997,1.0,0.1191873550415039,100
10,0.07,0.2857142857142857,0.0,15.75,1.0,0.0,0.0,200.0,1230.0,1.0,0.11968517303466797,100
11,0.04,0.25,0.0,30.0,1.0,0.0,0.0,10.0,1130.0,1.0,0.11814522743225098,100
12,0.02,0.0,0.0,16.0,1.0,0.0,0.0,-30.0,1029.9999999999998,1.0,0.11474394798278809,100
13,0.05,0.2,0.0,32.5,1.0,0.0,0.0,240.0,1079.9999999999995,1.0,0.11748051643371582,100
14,0.08,0.0,0.0,36.0,1.0,0.0,0.0,670.0,1029.9999999999998,1.0,0.1289966106414795,100
15,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,979.9999999999997,1.0,0.12353348731994629,100
16,0.03,0.3333333333333333,0.0,31.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.12097668647766113,100
17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-250.0,979.9999999999997,1.0,0.12405252456665039,100
18,0.04,0.0,0.0,0.0,1.0,0.0,0.0,100.0,979.9999999999997,1.0,0.1339280605316162,100
19,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,40.0,1079.9999999999998,1.0,0.1197502613067627,100
20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-200.0,979.9999999999997,1.0,0.12143111228942871,100
21,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,170.0,1029.9999999999998,1.0,0.11746931076049805,100
22,0.04,0.0,0.0,0.0,1.0,0.0,0.0,220.0,1029.9999999999998,1.0,0.11628198623657227,100
23,0.1,0.2,0.0,30.5,1.0,0.0,0.0,790.0,1079.9999999999998,1.0,0.11706805229187012,100
24,0.01,0.0,0.0,0.0,1.0,0.0,0.0,-150.0,979.9999999999997,1.0,0.11860060691833496,100
25,0.04,0.25,0.0,20.0,1.0,0.0,0.0,140.0,1079.9999999999998,1.0,0.1217038631439209,100
26,0.02,0.0,0.0,6.0,1.0,0.0,0.0,-60.0,1079.9999999999995,1.0,0.12645530700683594,100
