episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.14,0.7142857142857143,0.0,2.0,1.0,0.0,0.0,850.0,779.9999999999999,1.0,0.008081197738647461,100
1,0.05,0.6,0.0,3.3333333333333335,1.0,0.0,0.0,180.0,-290.00000000000006,1.0,0.006998538970947266,100
2,0.05,0.6,0.0,7.75,1.0,0.0,0.0,100.0,529.9999999999998,1.0,0.008006572723388672,100
3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-50.0,-140.0000000000001,1.0,0.008008718490600586,100
4,0.03,0.0,0.0,6.0,1.0,0.0,0.0,70.0,539.9999999999999,1.0,0.00788736343383789,100
5,0.03,0.3333333333333333,0.0,12.5,1.0,0.0,0.0,-150.0,249.9999999999999,1.0,0.008093118667602539,100
6,0.04,0.5,0.0,20.5,1.0,0.0,0.0,90.0,589.9999999999997,1.0,0.0073032379150390625,100
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-160.0,450.0,1.0,0.008013248443603516,100
8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-130.0,189.99999999999991,1.0,0.008112430572509766,100
9,0.07,0.5714285714285714,0.0,13.2,1.0,0.0,0.0,320.0,999.9999999999998,1.0,0.00833439826965332,100
10,0.03,0.0,0.0,0.0,1.0,0.0,0.0,200.0,559.9999999999998,1.0,0.008075237274169922,100
11,0.05,0.2,0.0,61.0,1.0,0.0,0.0,240.0,519.9999999999999,1.0,0.0078887939453125,100
12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-340.0,289.99999999999994,1.0,0.00822138786315918,100
13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-130.0,-90.00000000000011,1.0,0.008120298385620117,100
14,0.01,0.0,0.0,6.0,1.0,0.0,0.0,-210.0,450.0,1.0,0.007502555847167969,100
15,0.05,0.0,0.0,46.0,1.0,0.0,0.0,290.0,309.9999999999999,1.0,0.009492874145507812,100
16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-260.0,30.000000000000007,1.0,0.00800180435180664,100
