cell,attacker,defender,scenario,n_seeds,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_fmt,detection_rate_mean,detection_rate_std,detection_rate_fmt,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_fmt,detection_latency_mean,detection_latency_std,detection_latency_fmt,system_resilience_mean,system_resilience_std,system_resilience_fmt,service_availability_mean,service_availability_std,service_availability_fmt,attacker_cumulative_reward_mean,attacker_cumulative_reward_std,attacker_cumulative_reward_fmt,defender_cumulative_reward_mean,defender_cumulative_reward_std,defender_cumulative_reward_fmt
scripted_vs_static_known_attacks,scripted,static,known_attacks,5,0.13128,0.0006013318551349202,0.131 ± 0.001,0.22108024586352762,0.0015323159455065312,0.221 ± 0.002,0.0,0.0,0.000 ± 0.000,20.278533333333336,0.48590852362696085,20.279 ± 0.486,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,1044.2,5.6014283892592776,1044.200 ± 5.601,1152.0,1.2649110640673518,1152.000 ± 1.265
scripted_vs_ml_known_attacks,scripted,ml,known_attacks,5,0.13028,0.0009516301802696229,0.130 ± 0.001,0.22208272264371334,0.001270390089312438,0.222 ± 0.001,0.0,0.0,0.000 ± 0.000,20.4482,0.6938153965172906,20.448 ± 0.694,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,1032.6,9.166024219911245,1032.600 ± 9.166,1153.0,1.2649110640673518,1153.000 ± 1.265
scripted_vs_rl_known_attacks,scripted,rl,known_attacks,5,0.13076,0.0029836889918354427,0.131 ± 0.003,0.4031684297814329,0.0059290834022614515,0.403 ± 0.006,0.0,0.0,0.000 ± 0.000,9.672404761904762,1.6741344885422342,9.672 ± 1.674,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,973.0799999999999,23.457399685387102,973.080 ± 23.457,782.6,181.41841141405692,782.600 ± 181.418
aggressive_vs_static_known_attacks,aggressive,static,known_attacks,5,0.045119999999999987,0.001032279032045114,0.045 ± 0.001,0.27854444444444443,0.010604606879787194,0.279 ± 0.011,0.0,0.0,0.000 ± 0.000,12.268533333333334,0.19005094053963448,12.269 ± 0.190,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,184.68,8.928695313426251,184.680 ± 8.929,1069.2,5.45527267879443,1069.200 ± 5.455
aggressive_vs_ml_known_attacks,aggressive,ml,known_attacks,5,0.04339999999999999,0.0022943408639519965,0.043 ± 0.002,0.2790714285714285,0.011197032864716655,0.279 ± 0.011,0.0,0.0,0.000 ± 0.000,12.124733333333333,0.17883094437671265,12.125 ± 0.179,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,169.72,21.489197286078415,169.720 ± 21.489,1067.8,4.308131845707658,1067.800 ± 4.308
aggressive_vs_rl_known_attacks,aggressive,rl,known_attacks,5,0.040600000000000004,0.004341428336388841,0.041 ± 0.004,0.525246608946609,0.052886299620601124,0.525 ± 0.053,0.0,0.0,0.000 ± 0.000,9.627714285714287,1.6314839878837575,9.628 ± 1.631,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,110.36000000000001,51.37180549678978,110.360 ± 51.372,603.7599999999999,141.5405751012762,603.760 ± 141.541
stealthy_vs_static_known_attacks,stealthy,static,known_attacks,5,0.08096,0.0037403743128195093,0.081 ± 0.004,0.19984499944499945,0.014773908816576697,0.200 ± 0.015,0.0,0.0,0.000 ± 0.000,12.55147619047619,1.4238508476245606,12.551 ± 1.424,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,472.08000000000004,43.87593417808904,472.080 ± 43.876,1317.2,19.093454375780198,1317.200 ± 19.093
stealthy_vs_ml_known_attacks,stealthy,ml,known_attacks,5,0.08076000000000001,0.002470303625063127,0.081 ± 0.002,0.1894186147186147,0.007470956495190317,0.189 ± 0.007,0.0,0.0,0.000 ± 0.000,11.362377777777777,0.6974051469318208,11.362 ± 0.697,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,472.35999999999996,25.32110582103397,472.360 ± 25.321,1315.4,8.639444426582072,1315.400 ± 8.639
stealthy_vs_rl_known_attacks,stealthy,rl,known_attacks,5,0.08272,0.00214140141029187,0.083 ± 0.002,0.35020331890331896,0.023724743260937153,0.350 ± 0.024,0.0,0.0,0.000 ± 0.000,5.265560606060606,0.5762366374095823,5.266 ± 0.576,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,338.23999999999995,33.58413911357562,338.240 ± 33.584,1094.8,208.1142378598831,1094.800 ± 208.114
recon_heavy_vs_static_known_attacks,recon_heavy,static,known_attacks,5,0.06235999999999999,0.0009583318840568746,0.062 ± 0.001,0.23195873015873017,0.02205305931257819,0.232 ± 0.022,0.0,0.0,0.000 ± 0.000,17.214019047619047,2.004951423594861,17.214 ± 2.005,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,-132.95999999999998,26.773539175835527,-132.960 ± 26.774,1198.6,10.26839812239475,1198.600 ± 10.268
recon_heavy_vs_ml_known_attacks,recon_heavy,ml,known_attacks,5,0.06172000000000001,0.0011702991070662277,0.062 ± 0.001,0.21948571428571428,0.02002177537183104,0.219 ± 0.020,0.0,0.0,0.000 ± 0.000,17.854599999999998,1.6786082780419944,17.855 ± 1.679,1.0,0.0,1.000 ± 0.000,1.0,0.0,1.000 ± 0.000,-134.16,18.652356419498314,-134.160 ± 18.652,1193.6,8.522910301065007,1193.600 ± 8.523
