episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.05,0.0,0.0,28.0,1.0,0.0,0.0,-260.0,1079.9999999999995,1.0,0.10547637939453125,100
1,0.06,0.0,0.0,0.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.1075448989868164,100
2,0.06,0.0,0.0,18.333333333333332,1.0,0.0,0.0,-500.0,1229.9999999999998,1.0,0.11415815353393555,100
3,0.05,0.0,0.0,21.666666666666668,1.0,0.0,0.0,-270.0,1179.9999999999995,1.0,0.10865545272827148,100
4,0.05,0.0,0.0,21.0,1.0,0.0,0.0,-490.0,1130.0,1.0,0.10747218132019043,100
5,0.07,0.2857142857142857,0.0,5.0,1.0,0.0,0.0,210.0,1129.9999999999998,1.0,0.10758185386657715,100
6,0.07,0.14285714285714285,0.0,18.0,1.0,0.0,0.0,50.0,1229.9999999999998,1.0,0.11306428909301758,100
7,0.07,0.0,0.0,33.0,1.0,0.0,0.0,40.0,1079.9999999999998,1.0,0.11283636093139648,100
8,0.07,0.0,0.0,18.0,1.0,0.0,0.0,90.0,1079.9999999999998,1.0,0.10794854164123535,100
9,0.07,0.14285714285714285,0.0,60.0,1.0,0.0,0.0,-10.0,1079.9999999999998,1.0,0.10772514343261719,100
10,0.08,0.375,0.0,4.8,1.0,0.0,0.0,-160.0,1330.0,1.0,0.11368727684020996,100
11,0.09,0.2222222222222222,0.0,30.0,1.0,0.0,0.0,170.0,1280.0,1.0,0.11311626434326172,100
12,0.08,0.375,0.0,9.6,1.0,0.0,0.0,-250.0,1230.0,1.0,0.10672855377197266,100
13,0.06,0.3333333333333333,0.0,6.333333333333333,1.0,0.0,0.0,-90.0,1130.0,1.0,0.11691451072692871,100
14,0.04,0.0,0.0,21.5,1.0,0.0,0.0,-240.0,1130.0,1.0,0.1177370548248291,100
15,0.03,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,-210.0,1079.9999999999998,1.0,0.11640262603759766,100
16,0.07,0.14285714285714285,0.0,18.0,1.0,0.0,0.0,-90.0,1129.9999999999995,1.0,0.12194156646728516,100
17,0.08,0.25,0.0,1.0,1.0,0.0,0.0,80.0,1180.0,1.0,0.12050962448120117,100
18,0.06,0.16666666666666666,0.0,14.333333333333334,1.0,0.0,0.0,-190.0,1380.0,1.0,0.11902999877929688,100
19,0.07,0.0,0.0,55.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.11712384223937988,100
20,0.07,0.2857142857142857,0.0,22.333333333333332,1.0,0.0,0.0,180.0,1179.9999999999998,1.0,0.11018919944763184,100
21,0.07,0.42857142857142855,0.0,8.25,1.0,0.0,0.0,-160.0,1330.0,1.0,0.11584043502807617,100
22,0.06,0.16666666666666666,0.0,39.5,1.0,0.0,0.0,-260.0,1079.9999999999998,1.0,0.11579751968383789,100
23,0.08,0.5,0.0,5.666666666666667,1.0,0.0,0.0,-120.0,1430.0,1.0,0.11634397506713867,100
24,0.05,0.2,0.0,6.333333333333333,1.0,0.0,0.0,-220.0,1179.9999999999998,1.0,0.11228704452514648,100
25,0.08,0.125,0.0,11.75,1.0,0.0,0.0,80.0,1179.9999999999998,1.0,0.11251401901245117,100
26,0.07,0.2857142857142857,0.0,11.0,1.0,0.0,0.0,80.0,1179.9999999999998,1.0,0.11206507682800293,100
27,0.07,0.42857142857142855,0.0,8.8,1.0,0.0,0.0,-290.0,1380.0,1.0,0.1116788387298584,100
28,0.05,0.6,0.0,3.75,1.0,0.0,0.0,-410.0,1330.0,1.0,0.11332106590270996,100
29,0.09,0.1111111111111111,0.0,29.0,1.0,0.0,0.0,240.0,1079.9999999999998,1.0,0.11555337905883789,100
30,0.06,0.16666666666666666,0.0,11.0,1.0,0.0,0.0,-120.0,1180.0,1.0,0.11117100715637207,100
31,0.07,0.14285714285714285,0.0,10.25,1.0,0.0,0.0,-160.0,1330.0,1.0,0.11452078819274902,100
32,0.05,0.0,0.0,6.5,1.0,0.0,0.0,-330.0,1280.0,1.0,0.11214160919189453,100
33,0.05,0.2,0.0,12.333333333333334,1.0,0.0,0.0,-320.0,1179.9999999999998,1.0,0.1085519790649414,100
34,0.08,0.25,0.0,16.0,1.0,0.0,0.0,130.0,1179.9999999999998,1.0,0.10681867599487305,100
35,0.07,0.0,0.0,20.5,1.0,0.0,0.0,-40.0,1129.9999999999998,1.0,0.11154818534851074,100
36,0.04,0.0,0.0,75.0,1.0,0.0,0.0,-160.0,1079.9999999999998,1.0,0.10683894157409668,100
37,0.05,0.0,0.0,11.0,1.0,0.0,0.0,-240.0,1129.9999999999998,1.0,0.11604690551757812,100
38,0.05,0.0,0.0,30.0,1.0,0.0,0.0,-160.0,1079.9999999999998,1.0,0.11443519592285156,100
39,0.08,0.375,0.0,10.6,1.0,0.0,0.0,-240.0,1380.0,1.0,0.11237239837646484,100
40,0.04,0.25,0.0,9.333333333333334,1.0,0.0,0.0,-450.0,1229.9999999999998,1.0,0.11860418319702148,100
41,0.03,0.3333333333333333,0.0,21.5,1.0,0.0,0.0,-390.0,1129.9999999999998,1.0,0.12054324150085449,100
42,0.08,0.125,0.0,21.5,1.0,0.0,0.0,60.0,1129.9999999999998,1.0,0.10983610153198242,100
43,0.05,0.2,0.0,60.0,1.0,0.0,0.0,-190.0,1129.9999999999998,1.0,0.1162865161895752,100
44,0.06,0.16666666666666666,0.0,16.5,1.0,0.0,0.0,-270.0,1180.0,1.0,0.13423466682434082,100
45,0.08,0.375,0.0,1.2,1.0,0.0,0.0,-260.0,1330.0,1.0,0.12013578414916992,100
46,0.06,0.3333333333333333,0.0,14.333333333333334,1.0,0.0,0.0,0.0,1229.9999999999995,1.0,0.10952329635620117,100
47,0.05,0.6,0.0,4.75,1.0,0.0,0.0,-460.0,1330.0,1.0,0.11190176010131836,100
48,0.04,0.0,0.0,0.0,1.0,0.0,0.0,-100.0,979.9999999999997,1.0,0.11601567268371582,100
49,0.08,0.25,0.0,9.8,1.0,0.0,0.0,50.0,1230.0,1.0,0.11898589134216309,100
