episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.08,0.375,0.0,9.833333333333334,1.0,0.0,0.0,-80.0,1280.0,1.0,0.0029997825622558594,100
1,0.07,0.2857142857142857,0.0,2.3333333333333335,1.0,0.0,0.0,-200.0,1230.0,1.0,0.0019996166229248047,100
2,0.07,0.0,0.0,28.0,1.0,0.0,0.0,-60.0,1079.9999999999995,1.0,0.003000020980834961,100
3,0.06,0.0,0.0,0.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.0019998550415039062,100
4,0.06,0.0,0.0,18.333333333333332,1.0,0.0,0.0,-500.0,1229.9999999999998,1.0,0.002000093460083008,100
5,0.05,0.0,0.0,21.666666666666668,1.0,0.0,0.0,-270.0,1179.9999999999995,1.0,0.0025076866149902344,100
6,0.05,0.0,0.0,21.0,1.0,0.0,0.0,-490.0,1130.0,1.0,0.002001523971557617,100
7,0.07,0.2857142857142857,0.0,5.0,1.0,0.0,0.0,210.0,1129.9999999999998,1.0,0.0019986629486083984,100
8,0.07,0.14285714285714285,0.0,18.0,1.0,0.0,0.0,50.0,1229.9999999999998,1.0,0.001998424530029297,100
9,0.07,0.0,0.0,33.0,1.0,0.0,0.0,40.0,1079.9999999999998,1.0,0.0030019283294677734,100
10,0.07,0.0,0.0,18.0,1.0,0.0,0.0,90.0,1079.9999999999998,1.0,0.0019986629486083984,100
11,0.07,0.14285714285714285,0.0,60.0,1.0,0.0,0.0,-10.0,1079.9999999999998,1.0,0.0029993057250976562,100
12,0.08,0.375,0.0,4.8,1.0,0.0,0.0,-160.0,1330.0,1.0,0.0020008087158203125,100
13,0.09,0.2222222222222222,0.0,30.0,1.0,0.0,0.0,170.0,1280.0,1.0,0.0019991397857666016,100
14,0.08,0.375,0.0,9.6,1.0,0.0,0.0,-250.0,1230.0,1.0,0.0030014514923095703,100
15,0.06,0.3333333333333333,0.0,6.333333333333333,1.0,0.0,0.0,-90.0,1130.0,1.0,0.001998424530029297,100
16,0.04,0.0,0.0,21.5,1.0,0.0,0.0,-240.0,1130.0,1.0,0.002000570297241211,100
17,0.03,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,-210.0,1079.9999999999998,1.0,0.0030431747436523438,100
18,0.07,0.14285714285714285,0.0,18.0,1.0,0.0,0.0,-90.0,1129.9999999999995,1.0,0.00432276725769043,100
19,0.08,0.25,0.0,1.0,1.0,0.0,0.0,80.0,1180.0,1.0,0.001999378204345703,100
20,0.06,0.16666666666666666,0.0,14.333333333333334,1.0,0.0,0.0,-190.0,1380.0,1.0,0.0029993057250976562,100
21,0.07,0.0,0.0,55.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.0019996166229248047,100
22,0.07,0.2857142857142857,0.0,22.333333333333332,1.0,0.0,0.0,180.0,1179.9999999999998,1.0,0.0030002593994140625,100
23,0.07,0.42857142857142855,0.0,8.25,1.0,0.0,0.0,-160.0,1330.0,1.0,0.0030002593994140625,100
24,0.06,0.16666666666666666,0.0,39.5,1.0,0.0,0.0,-260.0,1079.9999999999998,1.0,0.0020008087158203125,100
25,0.08,0.5,0.0,5.666666666666667,1.0,0.0,0.0,-120.0,1430.0,1.0,0.0019979476928710938,100
26,0.05,0.2,0.0,6.333333333333333,1.0,0.0,0.0,-220.0,1179.9999999999998,1.0,0.001999378204345703,100
27,0.08,0.125,0.0,11.75,1.0,0.0,0.0,80.0,1179.9999999999998,1.0,0.003001689910888672,100
28,0.07,0.2857142857142857,0.0,11.0,1.0,0.0,0.0,80.0,1179.9999999999998,1.0,0.001999378204345703,100
29,0.07,0.42857142857142855,0.0,8.8,1.0,0.0,0.0,-290.0,1380.0,1.0,0.0019986629486083984,100
30,0.05,0.6,0.0,3.75,1.0,0.0,0.0,-410.0,1330.0,1.0,0.003001689910888672,100
31,0.09,0.1111111111111111,0.0,29.0,1.0,0.0,0.0,240.0,1079.9999999999998,1.0,0.0019991397857666016,100
32,0.06,0.16666666666666666,0.0,11.0,1.0,0.0,0.0,-120.0,1180.0,1.0,0.0019998550415039062,100
33,0.07,0.14285714285714285,0.0,10.25,1.0,0.0,0.0,-160.0,1330.0,1.0,0.002999544143676758,100
34,0.05,0.0,0.0,6.5,1.0,0.0,0.0,-330.0,1280.0,1.0,0.002000093460083008,100
35,0.05,0.2,0.0,12.333333333333334,1.0,0.0,0.0,-320.0,1179.9999999999998,1.0,0.0019998550415039062,100
36,0.08,0.25,0.0,16.0,1.0,0.0,0.0,130.0,1179.9999999999998,1.0,0.0030012130737304688,100
37,0.07,0.0,0.0,20.5,1.0,0.0,0.0,-40.0,1129.9999999999998,1.0,0.002007007598876953,100
38,0.04,0.0,0.0,75.0,1.0,0.0,0.0,-160.0,1079.9999999999998,1.0,0.003013134002685547,100
39,0.05,0.0,0.0,11.0,1.0,0.0,0.0,-240.0,1129.9999999999998,1.0,0.0029959678649902344,100
