episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.04,0.75,0.0,0.0,1.0,0.0,0.0,30.0,1180.0,1.0,0.11127829551696777,100
1,0.06,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,470.0,1029.9999999999998,1.0,0.12045407295227051,100
2,0.09,0.3333333333333333,0.0,14.0,1.0,0.0,0.0,620.0,1280.0,1.0,0.11868143081665039,100
3,0.12,0.08333333333333333,0.0,29.0,1.0,0.0,0.0,1070.0,1029.9999999999998,1.0,0.11278820037841797,100
4,0.03,0.3333333333333333,0.0,18.5,1.0,0.0,0.0,190.0,1079.9999999999998,1.0,0.10927081108093262,100
5,0.12,0.08333333333333333,0.0,17.333333333333332,1.0,0.0,0.0,1010.0,1129.9999999999998,1.0,0.11165475845336914,100
6,0.07,0.14285714285714285,0.0,14.0,1.0,0.0,0.0,620.0,1029.9999999999998,1.0,0.11108183860778809,100
7,0.08,0.25,0.0,11.75,1.0,0.0,0.0,550.0,1229.9999999999995,1.0,0.1154930591583252,100
8,0.13,0.23076923076923078,0.0,15.2,1.0,0.0,0.0,1020.0,1279.9999999999998,1.0,0.11309528350830078,100
9,0.06,0.16666666666666666,0.0,20.666666666666668,1.0,0.0,0.0,460.0,1129.9999999999998,1.0,0.11150503158569336,100
10,0.05,0.2,0.0,74.0,1.0,0.0,0.0,370.0,1029.9999999999995,1.0,0.11278891563415527,100
11,0.07,0.42857142857142855,0.0,16.333333333333332,1.0,0.0,0.0,510.0,1129.9999999999998,1.0,0.11348509788513184,100
12,0.04,0.25,0.0,17.0,1.0,0.0,0.0,130.0,1180.0,1.0,0.11073422431945801,100
13,0.04,0.25,0.0,11.0,1.0,0.0,0.0,160.0,1129.9999999999998,1.0,0.1120147705078125,100
14,0.03,0.0,0.0,33.0,1.0,0.0,0.0,-70.0,1179.9999999999998,1.0,0.11549162864685059,100
15,0.05,0.4,0.0,13.5,1.0,0.0,0.0,180.0,1179.9999999999998,1.0,0.11615180969238281,100
16,0.06,0.5,0.0,3.0,1.0,0.0,0.0,270.0,1280.0,1.0,0.11566758155822754,100
17,0.08,0.125,0.0,19.0,1.0,0.0,0.0,640.0,1079.9999999999998,1.0,0.11053037643432617,100
18,0.06,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,470.0,1029.9999999999998,1.0,0.1153864860534668,100
19,0.09,0.0,0.0,22.0,1.0,0.0,0.0,660.0,1129.9999999999998,1.0,0.1134653091430664,100
20,0.09,0.3333333333333333,0.0,4.666666666666667,1.0,0.0,0.0,760.0,1129.9999999999998,1.0,0.11800336837768555,100
21,0.07,0.14285714285714285,0.0,12.0,1.0,0.0,0.0,620.0,1029.9999999999998,1.0,0.1166386604309082,100
22,0.08,0.0,0.0,0.0,1.0,0.0,0.0,750.0,979.9999999999997,1.0,0.12123465538024902,100
23,0.04,0.0,0.0,18.0,1.0,0.0,0.0,240.0,1079.9999999999998,1.0,0.12492775917053223,100
24,0.09,0.3333333333333333,0.0,13.5,1.0,0.0,0.0,730.0,1180.0,1.0,0.12598705291748047,100
25,0.1,0.2,0.0,13.0,1.0,0.0,0.0,680.0,1179.9999999999998,1.0,0.11526274681091309,100
26,0.1,0.2,0.0,10.0,1.0,0.0,0.0,780.0,1179.9999999999998,1.0,0.11531305313110352,100
27,0.05,0.2,0.0,39.0,1.0,0.0,0.0,390.0,1079.9999999999995,1.0,0.11742448806762695,100
28,0.05,0.4,0.0,11.666666666666666,1.0,0.0,0.0,330.0,1179.9999999999998,1.0,0.11410236358642578,100
29,0.07,0.0,0.0,0.0,1.0,0.0,0.0,650.0,979.9999999999997,1.0,0.11159610748291016,100
30,0.16,0.1875,0.0,12.25,1.0,0.0,0.0,1350.0,1230.0,1.0,0.11160421371459961,100
31,0.04,0.0,0.0,22.5,1.0,0.0,0.0,60.0,1129.9999999999998,1.0,0.11367273330688477,100
32,0.07,0.14285714285714285,0.0,24.0,1.0,0.0,0.0,590.0,1079.9999999999998,1.0,0.11734437942504883,100
33,0.07,0.2857142857142857,0.0,36.5,1.0,0.0,0.0,590.0,1079.9999999999995,1.0,0.11481380462646484,100
