episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.04,0.75,0.0,0.0,1.0,0.0,0.0,210.0,149.99999999999994,1.0,0.011002063751220703,100
1,0.12,0.75,0.0,2.3333333333333335,1.0,0.0,0.0,690.0,320.0,1.0,0.011999368667602539,100
2,0.07,0.2857142857142857,0.0,26.5,1.0,0.0,0.0,410.0,-60.000000000000156,1.0,0.010999679565429688,100
3,0.05,0.2,0.0,18.666666666666668,1.0,0.0,0.0,230.0,410.0,1.0,0.0110015869140625,100
4,0.08,0.625,0.0,5.0,1.0,0.0,0.0,460.0,399.9999999999999,1.0,0.02237105369567871,100
5,0.04,0.0,0.0,20.666666666666668,1.0,0.0,0.0,160.0,-690.0000000000002,1.0,0.016223430633544922,100
6,0.02,0.0,0.0,22.0,1.0,0.0,0.0,-140.0,150.00000000000003,1.0,0.017508268356323242,100
7,0.03,0.3333333333333333,0.0,31.0,1.0,0.0,0.0,110.0,359.99999999999994,1.0,0.012117862701416016,100
8,0.03,0.6666666666666666,0.0,19.5,1.0,0.0,0.0,30.0,339.9999999999999,1.0,0.01399993896484375,100
9,0.06,0.5,0.0,11.666666666666666,1.0,0.0,0.0,410.0,709.9999999999998,1.0,0.012005090713500977,100
10,0.13,0.23076923076923078,0.0,10.833333333333334,1.0,0.0,0.0,920.0,859.9999999999998,1.0,0.01500844955444336,100
11,0.08,0.5,0.0,9.4,1.0,0.0,0.0,550.0,40.0,1.0,0.011968851089477539,100
12,0.02,0.5,0.0,28.0,1.0,0.0,0.0,-10.0,379.99999999999994,1.0,0.014006853103637695,100
13,0.11,0.5454545454545454,0.0,4.571428571428571,1.0,0.0,0.0,760.0,470.0,1.0,0.019516468048095703,100
14,0.02,0.0,0.0,43.0,1.0,0.0,0.0,-60.0,310.0,1.0,0.016997814178466797,100
15,0.04,0.25,0.0,8.5,1.0,0.0,0.0,190.0,169.99999999999994,1.0,0.016001224517822266,100
16,0.06,0.5,0.0,0.0,1.0,0.0,0.0,290.0,-210.0000000000001,1.0,0.013341903686523438,100
17,0.03,0.0,0.0,23.0,1.0,0.0,0.0,90.0,240.00000000000006,1.0,0.012537717819213867,100
18,0.08,0.375,0.0,13.0,1.0,0.0,0.0,660.0,219.99999999999994,1.0,0.015599250793457031,100
19,0.08,0.625,0.0,1.2,1.0,0.0,0.0,470.0,789.9999999999998,1.0,0.016935348510742188,100
20,0.07,0.42857142857142855,0.0,19.666666666666668,1.0,0.0,0.0,430.0,480.0,1.0,0.011512994766235352,100
21,0.05,0.4,0.0,14.0,1.0,0.0,0.0,150.0,809.9999999999997,1.0,0.011998653411865234,100
22,0.03,0.3333333333333333,0.0,43.0,1.0,0.0,0.0,40.0,869.9999999999998,1.0,0.010999679565429688,100
23,0.03,0.3333333333333333,0.0,7.0,1.0,0.0,0.0,0.0,460.0,1.0,0.011000394821166992,100
24,0.1,0.2,0.0,21.666666666666668,1.0,0.0,0.0,760.0,79.99999999999999,1.0,0.01100015640258789,100
25,0.09,0.3333333333333333,0.0,19.666666666666668,1.0,0.0,0.0,760.0,220.00000000000006,1.0,0.010999441146850586,100
26,0.04,0.0,0.0,17.0,1.0,0.0,0.0,50.0,-30.00000000000019,1.0,0.011001348495483398,100
27,0.07,0.5714285714285714,0.0,3.25,1.0,0.0,0.0,470.0,999.9999999999998,1.0,0.011001110076904297,100
28,0.04,0.25,0.0,23.0,1.0,0.0,0.0,210.0,709.9999999999998,1.0,0.0110015869140625,100
29,0.06,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,360.0,779.9999999999998,1.0,0.011529207229614258,100
30,0.03,0.0,0.0,0.0,1.0,0.0,0.0,220.0,49.999999999999886,1.0,0.014000415802001953,100
31,0.07,0.7142857142857143,0.0,0.6,1.0,0.0,0.0,340.0,139.99999999999991,1.0,0.01196742057800293,100
32,0.04,0.75,0.0,0.0,1.0,0.0,0.0,-30.0,370.0,1.0,0.012158870697021484,100
33,0.03,0.0,0.0,8.0,1.0,0.0,0.0,-130.0,300.0,1.0,0.012375831604003906,100
34,0.08,0.375,0.0,13.333333333333334,1.0,0.0,0.0,560.0,569.9999999999998,1.0,0.011882543563842773,100
35,0.07,0.42857142857142855,0.0,14.666666666666666,1.0,0.0,0.0,560.0,429.99999999999994,1.0,0.013033151626586914,100
36,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,90.0,29.999999999999865,1.0,0.012419939041137695,100
37,0.07,0.2857142857142857,0.0,12.333333333333334,1.0,0.0,0.0,510.0,430.0,1.0,0.013692378997802734,100
38,0.04,0.25,0.0,24.0,1.0,0.0,0.0,270.0,190.00000000000003,1.0,0.011197090148925781,100
39,0.02,0.0,0.0,22.0,1.0,0.0,0.0,10.0,219.99999999999991,1.0,0.012307882308959961,100
40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-140.0,430.0,1.0,0.01199960708618164,100
41,0.08,0.125,0.0,30.5,1.0,0.0,0.0,480.0,619.9999999999998,1.0,0.011000394821166992,100
42,0.06,0.16666666666666666,0.0,1.0,1.0,0.0,0.0,360.0,289.99999999999994,1.0,0.01199960708618164,100
43,0.11,0.45454545454545453,0.0,8.4,1.0,0.0,0.0,870.0,369.99999999999994,1.0,0.012000083923339844,100
44,0.07,0.2857142857142857,0.0,1.5,1.0,0.0,0.0,320.0,509.99999999999994,1.0,0.011004447937011719,100
45,0.06,0.5,0.0,4.0,1.0,0.0,0.0,300.0,109.99999999999996,1.0,0.011507749557495117,100
46,0.07,0.42857142857142855,0.0,21.333333333333332,1.0,0.0,0.0,510.0,919.9999999999997,1.0,0.011999130249023438,100
47,0.05,0.8,0.0,4.0,1.0,0.0,0.0,170.0,509.9999999999999,1.0,0.012015342712402344,100
48,0.01,0.0,0.0,29.0,1.0,0.0,0.0,-110.0,659.9999999999998,1.0,0.01098489761352539,100
49,0.08,0.25,0.0,3.0,1.0,0.0,0.0,660.0,779.9999999999998,1.0,0.011000394821166992,100
