episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.1,0.3,0.0,29.333333333333332,1.0,0.0,0.0,710.0,1129.9999999999995,1.0,0.007105588912963867,100
1,0.09,0.1111111111111111,0.0,25.0,1.0,0.0,0.0,670.0,1029.9999999999998,1.0,0.0069217681884765625,100
2,0.13,0.23076923076923078,0.0,16.25,1.0,0.0,0.0,1080.0,1180.0,1.0,0.006016731262207031,100
3,0.09,0.1111111111111111,0.0,8.0,1.0,0.0,0.0,540.0,1079.9999999999998,1.0,0.006098031997680664,100
4,0.09,0.1111111111111111,0.0,32.5,1.0,0.0,0.0,560.0,1129.9999999999998,1.0,0.0069942474365234375,100
5,0.15,0.06666666666666667,0.0,41.0,1.0,0.0,0.0,1320.0,1029.9999999999998,1.0,0.006995439529418945,100
6,0.08,0.25,0.0,26.666666666666668,1.0,0.0,0.0,580.0,1179.9999999999995,1.0,0.006009340286254883,100
7,0.1,0.0,0.0,18.0,1.0,0.0,0.0,650.0,1230.0,1.0,0.006995677947998047,100
8,0.21,0.23809523809523808,0.0,6.285714285714286,1.0,0.0,0.0,1740.0,1330.0,1.0,0.005993843078613281,100
9,0.14,0.21428571428571427,0.0,10.0,1.0,0.0,0.0,1160.0,1129.9999999999998,1.0,0.0070056915283203125,100
10,0.1,0.1,0.0,19.5,1.0,0.0,0.0,610.0,1129.9999999999998,1.0,0.007095813751220703,100
11,0.12,0.4166666666666667,0.0,5.285714285714286,1.0,0.0,0.0,890.0,1330.0,1.0,0.007601737976074219,100
12,0.16,0.25,0.0,12.4,1.0,0.0,0.0,1300.0,1229.9999999999998,1.0,0.007000446319580078,100
13,0.12,0.25,0.0,23.0,1.0,0.0,0.0,980.0,1179.9999999999998,1.0,0.005999565124511719,100
14,0.22,0.13636363636363635,0.0,17.666666666666668,1.0,0.0,0.0,2060.0,1129.9999999999998,1.0,0.00599980354309082,100
15,0.17,0.11764705882352941,0.0,16.5,1.0,0.0,0.0,1430.0,1179.9999999999998,1.0,0.00700068473815918,100
16,0.12,0.25,0.0,10.25,1.0,0.0,0.0,1000.0,1230.0,1.0,0.006999015808105469,100
17,0.21,0.3333333333333333,0.0,6.285714285714286,1.0,0.0,0.0,1740.0,1330.0,1.0,0.006003618240356445,100
18,0.27,0.14814814814814814,0.0,20.5,1.0,0.0,0.0,2480.0,1179.9999999999998,1.0,0.00699925422668457,100
19,0.01,0.0,0.0,0.0,1.0,0.0,0.0,-30.0,1029.9999999999998,1.0,0.0060002803802490234,100
20,0.1,0.2,0.0,21.0,1.0,0.0,0.0,840.0,1079.9999999999998,1.0,0.007508993148803711,100
21,0.1,0.5,0.0,5.166666666666667,1.0,0.0,0.0,560.0,1380.0,1.0,0.006000041961669922,100
22,0.18,0.2777777777777778,0.0,4.5,1.0,0.0,0.0,1410.0,1380.0,1.0,0.0066072940826416016,100
23,0.07,0.2857142857142857,0.0,21.5,1.0,0.0,0.0,490.0,1079.9999999999995,1.0,0.007001399993896484,100
24,0.12,0.25,0.0,12.25,1.0,0.0,0.0,880.0,1179.9999999999998,1.0,0.006005525588989258,100
25,0.18,0.16666666666666666,0.0,11.333333333333334,1.0,0.0,0.0,1370.0,1279.9999999999998,1.0,0.00610661506652832,100
26,0.11,0.2727272727272727,0.0,17.0,1.0,0.0,0.0,910.0,1129.9999999999998,1.0,0.005710601806640625,100
27,0.23,0.2608695652173913,0.0,11.666666666666666,1.0,0.0,0.0,1940.0,1330.0,1.0,0.006470680236816406,100
28,0.12,0.25,0.0,4.75,1.0,0.0,0.0,880.0,1180.0,1.0,0.00606989860534668,100
29,0.07,0.2857142857142857,0.0,11.0,1.0,0.0,0.0,530.0,1179.9999999999998,1.0,0.00598597526550293,100
30,0.03,0.0,0.0,0.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.0070095062255859375,100
31,0.12,0.4166666666666667,0.0,10.8,1.0,0.0,0.0,820.0,1280.0,1.0,0.005993366241455078,100
32,0.2,0.3,0.0,4.666666666666667,1.0,0.0,0.0,1770.0,1280.0,1.0,0.006906986236572266,100
33,0.2,0.1,0.0,15.333333333333334,1.0,0.0,0.0,1710.0,1129.9999999999998,1.0,0.005999326705932617,100
34,0.07,0.42857142857142855,0.0,1.3333333333333333,1.0,0.0,0.0,460.0,1129.9999999999998,1.0,0.007001399993896484,100
35,0.18,0.2222222222222222,0.0,13.75,1.0,0.0,0.0,1500.0,1230.0,1.0,0.006000041961669922,100
36,0.05,0.0,0.0,0.0,1.0,0.0,0.0,450.0,979.9999999999997,1.0,0.0069849491119384766,100
37,0.21,0.2857142857142857,0.0,10.142857142857142,1.0,0.0,0.0,1600.0,1480.0,1.0,0.00699925422668457,100
38,0.21,0.19047619047619047,0.0,13.2,1.0,0.0,0.0,1750.0,1229.9999999999998,1.0,0.0070230960845947266,100
39,0.18,0.16666666666666666,0.0,16.0,1.0,0.0,0.0,1630.0,1179.9999999999998,1.0,0.0071065425872802734,100
40,0.1,0.0,0.0,12.5,1.0,0.0,0.0,510.0,1129.9999999999998,1.0,0.006032466888427734,100
41,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,40.0,1079.9999999999998,1.0,0.007488727569580078,100
42,0.13,0.15384615384615385,0.0,7.333333333333333,1.0,0.0,0.0,960.0,1129.9999999999998,1.0,0.006992340087890625,100
43,0.27,0.3333333333333333,0.0,5.888888888888889,1.0,0.0,0.0,2230.0,1430.0,1.0,0.008036375045776367,100
44,0.15,0.4,0.0,5.5,1.0,0.0,0.0,1010.0,1380.0,1.0,0.005998849868774414,100
45,0.1,0.1,0.0,10.5,1.0,0.0,0.0,760.0,1129.9999999999998,1.0,0.007001161575317383,100
46,0.11,0.0,0.0,31.5,1.0,0.0,0.0,810.0,1129.9999999999998,1.0,0.005998373031616211,100
47,0.03,0.0,0.0,0.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.007038593292236328,100
48,0.12,0.08333333333333333,0.0,2.5,1.0,0.0,0.0,1090.0,1079.9999999999998,1.0,0.005962371826171875,100
49,0.06,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,390.0,1079.9999999999998,1.0,0.0069997310638427734,100
