episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.19,0.21052631578947367,0.0,11.0,1.0,0.0,0.0,1580.0,1180.0,1.0,0.11590337753295898,100
1,0.14,0.14285714285714285,0.0,31.0,1.0,0.0,0.0,1040.0,1079.9999999999998,1.0,0.11986303329467773,100
2,0.1,0.1,0.0,23.0,1.0,0.0,0.0,870.0,1029.9999999999998,1.0,0.11842107772827148,100
3,0.16,0.25,0.0,11.2,1.0,0.0,0.0,1170.0,1280.0,1.0,0.12076830863952637,100
4,0.16,0.1875,0.0,7.666666666666667,1.0,0.0,0.0,1460.0,1129.9999999999998,1.0,0.11978483200073242,100
5,0.2,0.5,0.0,5.5,1.0,0.0,0.0,1500.0,1480.0,1.0,0.17796611785888672,100
6,0.1,0.2,0.0,22.5,1.0,0.0,0.0,840.0,1079.9999999999998,1.0,0.17475175857543945,100
7,0.14,0.2857142857142857,0.0,12.25,1.0,0.0,0.0,1050.0,1229.9999999999998,1.0,0.1374375820159912,100
8,0.16,0.1875,0.0,21.333333333333332,1.0,0.0,0.0,1280.0,1179.9999999999995,1.0,0.15204811096191406,100
9,0.15,0.13333333333333333,0.0,12.0,1.0,0.0,0.0,1080.0,1180.0,1.0,0.11596012115478516,100
10,0.12,0.0,0.0,0.0,1.0,0.0,0.0,1150.0,979.9999999999997,1.0,0.11282610893249512,100
11,0.1,0.1,0.0,75.0,1.0,0.0,0.0,920.0,1029.9999999999998,1.0,0.11772298812866211,100
12,0.12,0.3333333333333333,0.0,15.5,1.0,0.0,0.0,930.0,1179.9999999999995,1.0,0.12210607528686523,100
13,0.09,0.2222222222222222,0.0,31.5,1.0,0.0,0.0,690.0,1079.9999999999998,1.0,0.12340807914733887,100
14,0.16,0.0625,0.0,21.5,1.0,0.0,0.0,1390.0,1079.9999999999998,1.0,0.11411547660827637,100
15,0.17,0.17647058823529413,0.0,17.666666666666668,1.0,0.0,0.0,1410.0,1130.0,1.0,0.11220359802246094,100
16,0.11,0.2727272727272727,0.0,6.666666666666667,1.0,0.0,0.0,860.0,1129.9999999999998,1.0,0.1117849349975586,100
17,0.11,0.2727272727272727,0.0,10.5,1.0,0.0,0.0,830.0,1179.9999999999998,1.0,0.11155962944030762,100
18,0.12,0.16666666666666666,0.0,24.0,1.0,0.0,0.0,910.0,1129.9999999999998,1.0,0.12115645408630371,100
19,0.08,0.125,0.0,25.0,1.0,0.0,0.0,440.0,1079.9999999999998,1.0,0.11184501647949219,100
20,0.16,0.375,0.0,5.166666666666667,1.0,0.0,0.0,1270.0,1280.0,1.0,0.11197352409362793,100
21,0.08,0.25,0.0,6.0,1.0,0.0,0.0,460.0,1129.9999999999998,1.0,0.11459898948669434,100
22,0.11,0.2727272727272727,0.0,19.666666666666668,1.0,0.0,0.0,960.0,1129.9999999999995,1.0,0.11343789100646973,100
23,0.08,0.25,0.0,24.0,1.0,0.0,0.0,590.0,1079.9999999999995,1.0,0.11689305305480957,100
24,0.13,0.15384615384615385,0.0,6.666666666666667,1.0,0.0,0.0,1010.0,1129.9999999999998,1.0,0.11483478546142578,100
25,0.15,0.2,0.0,15.75,1.0,0.0,0.0,1230.0,1179.9999999999998,1.0,0.11124372482299805,100
26,0.15,0.06666666666666667,0.0,84.0,1.0,0.0,0.0,1320.0,1029.9999999999995,1.0,0.11344337463378906,100
27,0.14,0.2857142857142857,0.0,9.75,1.0,0.0,0.0,1230.0,1180.0,1.0,0.11136198043823242,100
28,0.16,0.1875,0.0,19.0,1.0,0.0,0.0,1310.0,1129.9999999999998,1.0,0.11203575134277344,100
29,0.15,0.06666666666666667,0.0,60.0,1.0,0.0,0.0,1370.0,1029.9999999999998,1.0,0.11167192459106445,100
30,0.1,0.4,0.0,11.5,1.0,0.0,0.0,700.0,1230.0,1.0,0.11121845245361328,100
31,0.11,0.18181818181818182,0.0,16.666666666666668,1.0,0.0,0.0,810.0,1130.0,1.0,0.11364626884460449,100
32,0.16,0.625,0.0,1.9,1.0,0.0,0.0,1070.0,1530.0,1.0,0.12242698669433594,100
33,0.17,0.11764705882352941,0.0,10.5,1.0,0.0,0.0,1590.0,1079.9999999999998,1.0,0.11850786209106445,100
34,0.13,0.23076923076923078,0.0,17.666666666666668,1.0,0.0,0.0,1110.0,1129.9999999999998,1.0,0.11555695533752441,100
35,0.08,0.5,0.0,9.25,1.0,0.0,0.0,500.0,1230.0,1.0,0.11712861061096191,100
36,0.13,0.0,0.0,0.0,1.0,0.0,0.0,1200.0,979.9999999999997,1.0,0.11525702476501465,100
37,0.1,0.4,0.0,13.75,1.0,0.0,0.0,730.0,1179.9999999999995,1.0,0.11681818962097168,100
38,0.15,0.4,0.0,6.0,1.0,0.0,0.0,940.0,1330.0,1.0,0.11720705032348633,100
39,0.15,0.06666666666666667,0.0,80.0,1.0,0.0,0.0,1370.0,1029.9999999999998,1.0,0.11170077323913574,100
40,0.14,0.2857142857142857,0.0,12.0,1.0,0.0,0.0,870.0,1280.0,1.0,0.11345100402832031,100
41,0.15,0.2,0.0,8.5,1.0,0.0,0.0,1230.0,1180.0,1.0,0.11531209945678711,100
42,0.07,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,570.0,1029.9999999999998,1.0,0.11430668830871582,100
43,0.14,0.42857142857142855,0.0,7.666666666666667,1.0,0.0,0.0,1120.0,1280.0,1.0,0.12105393409729004,100
44,0.17,0.35294117647058826,0.0,7.166666666666667,1.0,0.0,0.0,1320.0,1279.9999999999998,1.0,0.11388659477233887,100
45,0.09,0.1111111111111111,0.0,23.5,1.0,0.0,0.0,690.0,1079.9999999999998,1.0,0.12276840209960938,100
46,0.13,0.15384615384615385,0.0,36.0,1.0,0.0,0.0,910.0,1129.9999999999998,1.0,0.1169288158416748,100
47,0.15,0.2,0.0,18.333333333333332,1.0,0.0,0.0,1260.0,1129.9999999999995,1.0,0.11820864677429199,100
48,0.14,0.07142857142857142,0.0,82.0,1.0,0.0,0.0,1270.0,1029.9999999999995,1.0,0.1195061206817627,100
49,0.15,0.26666666666666666,0.0,10.4,1.0,0.0,0.0,1020.0,1280.0,1.0,0.12511467933654785,100
