episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.11,0.18181818181818182,0.0,35.5,1.0,0.0,0.0,940.0,729.9999999999998,1.0,0.008220195770263672,100
1,0.18,0.5555555555555556,0.0,2.9,1.0,0.0,0.0,1300.0,1340.0,1.0,0.00858163833618164,100
2,0.13,0.5384615384615384,0.0,5.875,1.0,0.0,0.0,960.0,960.0,1.0,0.00849604606628418,100
3,0.16,0.5,0.0,6.5,1.0,0.0,0.0,1210.0,1100.0,1.0,0.006674528121948242,100
4,0.13,0.3076923076923077,0.0,12.5,1.0,0.0,0.0,950.0,1019.9999999999998,1.0,0.00885152816772461,100
5,0.15,0.4,0.0,7.5,1.0,0.0,0.0,1060.0,1170.0,1.0,0.00842595100402832,100
6,0.12,0.5,0.0,11.333333333333334,1.0,0.0,0.0,790.0,559.9999999999998,1.0,0.008047819137573242,100
7,0.16,0.4375,0.0,8.0,1.0,0.0,0.0,1210.0,1099.9999999999998,1.0,0.009769201278686523,100
8,0.1,0.1,0.0,75.0,1.0,0.0,0.0,920.0,749.9999999999998,1.0,0.008550643920898438,100
9,0.14,0.2857142857142857,0.0,10.6,1.0,0.0,0.0,1150.0,809.9999999999998,1.0,0.007993936538696289,100
10,0.11,0.18181818181818182,0.0,28.5,1.0,0.0,0.0,890.0,799.9999999999998,1.0,0.008228302001953125,100
11,0.12,0.25,0.0,5.666666666666667,1.0,0.0,0.0,1060.0,919.9999999999999,1.0,0.006688117980957031,100
12,0.14,0.5714285714285714,0.0,3.0,1.0,0.0,0.0,1080.0,1150.0,1.0,0.008296728134155273,100
13,0.17,0.29411764705882354,0.0,7.75,1.0,0.0,0.0,1260.0,959.9999999999998,1.0,0.008031845092773438,100
14,0.11,0.09090909090909091,0.0,27.0,1.0,0.0,0.0,940.0,869.9999999999998,1.0,0.008080720901489258,100
15,0.13,0.38461538461538464,0.0,8.166666666666666,1.0,0.0,0.0,970.0,1140.0,1.0,0.008250713348388672,100
16,0.12,0.6666666666666666,0.0,3.5555555555555554,1.0,0.0,0.0,750.0,1200.0,1.0,0.008300304412841797,100
