episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.19,0.21052631578947367,0.0,17.75,1.0,0.0,0.0,1580.0,1180.0,1.0,0.002004861831665039,100
1,0.16,0.1875,0.0,7.666666666666667,1.0,0.0,0.0,1460.0,1129.9999999999998,1.0,0.002999544143676758,100
2,0.2,0.5,0.0,5.5,1.0,0.0,0.0,1500.0,1480.0,1.0,0.002000093460083008,100
3,0.1,0.2,0.0,22.5,1.0,0.0,0.0,840.0,1079.9999999999998,1.0,0.003000497817993164,100
4,0.14,0.2857142857142857,0.0,12.25,1.0,0.0,0.0,1050.0,1229.9999999999998,1.0,0.002999544143676758,100
5,0.16,0.1875,0.0,21.333333333333332,1.0,0.0,0.0,1280.0,1179.9999999999995,1.0,0.0020003318786621094,100
6,0.15,0.13333333333333333,0.0,12.0,1.0,0.0,0.0,1080.0,1180.0,1.0,0.0030164718627929688,100
7,0.12,0.0,0.0,0.0,1.0,0.0,0.0,1150.0,979.9999999999997,1.0,0.0019991397857666016,100
8,0.1,0.1,0.0,75.0,1.0,0.0,0.0,920.0,1029.9999999999998,1.0,0.0020058155059814453,100
9,0.12,0.3333333333333333,0.0,15.5,1.0,0.0,0.0,930.0,1179.9999999999995,1.0,0.0029952526092529297,100
10,0.09,0.2222222222222222,0.0,31.5,1.0,0.0,0.0,690.0,1079.9999999999998,1.0,0.001998424530029297,100
11,0.16,0.0625,0.0,21.5,1.0,0.0,0.0,1390.0,1079.9999999999998,1.0,0.0029854774475097656,100
12,0.17,0.17647058823529413,0.0,17.666666666666668,1.0,0.0,0.0,1410.0,1130.0,1.0,0.002002239227294922,100
13,0.11,0.2727272727272727,0.0,6.666666666666667,1.0,0.0,0.0,860.0,1129.9999999999998,1.0,0.0029964447021484375,100
14,0.11,0.2727272727272727,0.0,10.5,1.0,0.0,0.0,830.0,1179.9999999999998,1.0,0.0020012855529785156,100
15,0.12,0.16666666666666666,0.0,24.0,1.0,0.0,0.0,910.0,1129.9999999999998,1.0,0.0019998550415039062,100
16,0.08,0.125,0.0,25.0,1.0,0.0,0.0,440.0,1079.9999999999998,1.0,0.0019989013671875,100
17,0.16,0.375,0.0,5.166666666666667,1.0,0.0,0.0,1270.0,1280.0,1.0,0.003000497817993164,100
18,0.08,0.25,0.0,6.0,1.0,0.0,0.0,460.0,1129.9999999999998,1.0,0.0030014514923095703,100
19,0.11,0.2727272727272727,0.0,19.666666666666668,1.0,0.0,0.0,960.0,1129.9999999999995,1.0,0.001998424530029297,100
20,0.08,0.25,0.0,24.0,1.0,0.0,0.0,590.0,1079.9999999999995,1.0,0.0030007362365722656,100
21,0.13,0.15384615384615385,0.0,6.666666666666667,1.0,0.0,0.0,1010.0,1129.9999999999998,1.0,0.001999378204345703,100
22,0.15,0.2,0.0,15.75,1.0,0.0,0.0,1230.0,1179.9999999999998,1.0,0.003002166748046875,100
