episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.09,0.2222222222222222,0.0,3.6666666666666665,1.0,0.0,0.0,650.0,1230.0,1.0,0.11627960205078125,100
1,0.09,0.2222222222222222,0.0,6.714285714285714,1.0,0.0,0.0,480.0,1430.0,1.0,0.11545324325561523,100
2,0.1,0.1,0.0,13.0,1.0,0.0,0.0,600.0,1230.0,1.0,0.11277961730957031,100
3,0.09,0.3333333333333333,0.0,4.166666666666667,1.0,0.0,0.0,530.0,1430.0,1.0,0.11755919456481934,100
4,0.08,0.125,0.0,12.0,1.0,0.0,0.0,390.0,1330.0,1.0,0.11179161071777344,100
5,0.1,0.1,0.0,11.8,1.0,0.0,0.0,530.0,1430.0,1.0,0.11323046684265137,100
6,0.09,0.1111111111111111,0.0,14.666666666666666,1.0,0.0,0.0,600.0,1230.0,1.0,0.11391162872314453,100
7,0.07,0.14285714285714285,0.0,13.25,1.0,0.0,0.0,310.0,1380.0,1.0,0.12081599235534668,100
8,0.04,0.25,0.0,4.0,1.0,0.0,0.0,90.0,1330.0,1.0,0.11866378784179688,100
9,0.06,0.3333333333333333,0.0,36.5,1.0,0.0,0.0,460.0,1129.9999999999995,1.0,0.1118917465209961,100
10,0.1,0.0,0.0,6.166666666666667,1.0,0.0,0.0,600.0,1480.0,1.0,0.11756753921508789,100
11,0.1,0.2,0.0,16.75,1.0,0.0,0.0,780.0,1179.9999999999998,1.0,0.11202406883239746,100
12,0.09,0.2222222222222222,0.0,11.75,1.0,0.0,0.0,600.0,1230.0,1.0,0.11350250244140625,100
13,0.05,0.4,0.0,4.666666666666667,1.0,0.0,0.0,30.0,1430.0,1.0,0.10941219329833984,100
14,0.09,0.3333333333333333,0.0,6.2,1.0,0.0,0.0,480.0,1430.0,1.0,0.11087179183959961,100
15,0.09,0.1111111111111111,0.0,10.8,1.0,0.0,0.0,500.0,1480.0,1.0,0.11045384407043457,100
16,0.11,0.36363636363636365,0.0,5.25,1.0,0.0,0.0,700.0,1480.0,1.0,0.1240701675415039,100
17,0.09,0.1111111111111111,0.0,8.0,1.0,0.0,0.0,650.0,1230.0,1.0,0.11571860313415527,100
18,0.1,0.2,0.0,8.0,1.0,0.0,0.0,800.0,1230.0,1.0,0.11858487129211426,100
19,0.09,0.1111111111111111,0.0,18.75,1.0,0.0,0.0,570.0,1279.9999999999998,1.0,0.11551308631896973,100
