episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.08,0.375,0.0,4.285714285714286,1.0,0.0,0.0,230.0,1330.0,1.0,0.007524728775024414,100
1,0.11,0.6363636363636364,0.0,2.4444444444444446,1.0,0.0,0.0,720.0,1180.0,1.0,0.007997989654541016,100
2,0.07,0.2857142857142857,0.0,7.25,1.0,0.0,0.0,340.0,1190.0,1.0,0.007675886154174805,100
3,0.1,0.5,0.0,2.7142857142857144,1.0,0.0,0.0,290.0,1410.0,1.0,0.0070018768310546875,100
4,0.07,0.2857142857142857,0.0,8.0,1.0,0.0,0.0,270.0,1110.0,1.0,0.008000373840332031,100
5,0.12,0.25,0.0,7.5,1.0,0.0,0.0,740.0,1159.9999999999998,1.0,0.007999181747436523,100
6,0.08,0.375,0.0,2.8333333333333335,1.0,0.0,0.0,330.0,1120.0,1.0,0.007032871246337891,100
7,0.09,0.4444444444444444,0.0,1.8333333333333333,1.0,0.0,0.0,320.0,1080.0,1.0,0.007035970687866211,100
8,0.09,0.4444444444444444,0.0,6.166666666666667,1.0,0.0,0.0,410.0,1350.0,1.0,0.00852346420288086,100
9,0.09,0.7777777777777778,0.0,0.3333333333333333,1.0,0.0,0.0,320.0,1500.0,1.0,0.007999181747436523,100
10,0.02,0.0,0.0,1.0,1.0,0.0,0.0,-140.0,819.9999999999999,1.0,0.007829427719116211,100
11,0.09,0.0,0.0,16.0,1.0,0.0,0.0,510.0,889.9999999999998,1.0,0.008098602294921875,100
12,0.09,0.1111111111111111,0.0,5.833333333333333,1.0,0.0,0.0,460.0,1350.0,1.0,0.007883787155151367,100
13,0.05,0.2,0.0,8.0,1.0,0.0,0.0,100.0,989.9999999999999,1.0,0.007001161575317383,100
14,0.08,0.375,0.0,8.2,1.0,0.0,0.0,270.0,829.9999999999998,1.0,0.007998943328857422,100
15,0.09,0.0,0.0,6.142857142857143,1.0,0.0,0.0,450.0,1270.0,1.0,0.007001161575317383,100
16,0.07,0.5714285714285714,0.0,4.6,1.0,0.0,0.0,60.0,1350.0,1.0,0.007999420166015625,100
17,0.09,0.3333333333333333,0.0,3.5714285714285716,1.0,0.0,0.0,400.0,1129.9999999999998,1.0,0.0070002079010009766,100
