episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.07,0.5714285714285714,0.0,1.0,1.0,0.0,0.0,200.0,1730.0,1.0,0.0030024051666259766,100
1,0.08,0.375,0.0,9.25,1.0,0.0,0.0,490.0,1330.0,1.0,0.0029973983764648438,100
2,0.04,0.0,0.0,14.0,1.0,0.0,0.0,120.0,1279.9999999999998,1.0,0.002000093460083008,100
3,0.03,0.0,0.0,12.666666666666666,1.0,0.0,0.0,-70.0,1430.0,1.0,0.0029997825622558594,100
4,0.08,0.0,0.0,13.0,1.0,0.0,0.0,470.0,1280.0,1.0,0.002000093460083008,100
5,0.11,0.09090909090909091,0.0,14.0,1.0,0.0,0.0,930.0,1179.9999999999998,1.0,0.002000570297241211,100
6,0.06,0.3333333333333333,0.0,10.25,1.0,0.0,0.0,350.0,1229.9999999999998,1.0,0.001999378204345703,100
7,0.05,0.4,0.0,3.5,1.0,0.0,0.0,240.0,1330.0,1.0,0.0030012130737304688,100
8,0.05,0.0,0.0,22.5,1.0,0.0,0.0,90.0,1330.0,1.0,0.0019991397857666016,100
9,0.05,0.0,0.0,24.0,1.0,0.0,0.0,190.0,1330.0,1.0,0.0030012130737304688,100
10,0.05,0.2,0.0,9.666666666666666,1.0,0.0,0.0,250.0,1230.0,1.0,0.001998424530029297,100
11,0.1,0.2,0.0,9.2,1.0,0.0,0.0,690.0,1330.0,1.0,0.002000570297241211,100
12,0.08,0.125,0.0,7.0,1.0,0.0,0.0,530.0,1179.9999999999998,1.0,0.0030014514923095703,100
13,0.1,0.2,0.0,1.8333333333333333,1.0,0.0,0.0,490.0,1580.0,1.0,0.0019986629486083984,100
14,0.07,0.14285714285714285,0.0,7.0,1.0,0.0,0.0,300.0,1480.0,1.0,0.0030002593994140625,100
15,0.08,0.125,0.0,17.75,1.0,0.0,0.0,450.0,1230.0,1.0,0.0030074119567871094,100
16,0.09,0.0,0.0,19.666666666666668,1.0,0.0,0.0,580.0,1179.9999999999998,1.0,0.0019936561584472656,100
17,0.09,0.0,0.0,14.25,1.0,0.0,0.0,520.0,1280.0,1.0,0.002999544143676758,100
18,0.06,0.0,0.0,18.666666666666668,1.0,0.0,0.0,350.0,1230.0,1.0,0.002000093460083008,100
19,0.1,0.5,0.0,7.428571428571429,1.0,0.0,0.0,340.0,1580.0,1.0,0.0029990673065185547,100
20,0.09,0.3333333333333333,0.0,6.0,1.0,0.0,0.0,530.0,1430.0,1.0,0.0020012855529785156,100
21,0.06,0.16666666666666666,0.0,29.5,1.0,0.0,0.0,380.0,1179.9999999999998,1.0,0.002015352249145508,100
22,0.1,0.3,0.0,5.5,1.0,0.0,0.0,450.0,1480.0,1.0,0.002982616424560547,100
23,0.07,0.14285714285714285,0.0,22.0,1.0,0.0,0.0,530.0,1179.9999999999998,1.0,0.0020008087158203125,100
24,0.11,0.09090909090909091,0.0,6.714285714285714,1.0,0.0,0.0,680.0,1430.0,1.0,0.0019991397857666016,100
25,0.07,0.14285714285714285,0.0,6.4,1.0,0.0,0.0,290.0,1330.0,1.0,0.004001140594482422,100
26,0.06,0.16666666666666666,0.0,8.6,1.0,0.0,0.0,280.0,1430.0,1.0,0.0019996166229248047,100
27,0.1,0.3,0.0,7.6,1.0,0.0,0.0,520.0,1530.0,1.0,0.002999544143676758,100
28,0.07,0.0,0.0,58.0,1.0,0.0,0.0,440.0,1079.9999999999998,1.0,0.0019998550415039062,100
29,0.1,0.3,0.0,3.6,1.0,0.0,0.0,740.0,1330.0,1.0,0.0019996166229248047,100
30,0.09,0.1111111111111111,0.0,18.0,1.0,0.0,0.0,580.0,1179.9999999999998,1.0,0.0030002593994140625,100
