episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.08,0.625,0.0,5.2,1.0,0.0,0.0,320.0,1070.0,1.0,0.017533063888549805,100
1,0.07,0.7142857142857143,0.0,4.166666666666667,1.0,0.0,0.0,290.0,979.9999999999999,1.0,0.019139766693115234,100
2,0.04,0.25,0.0,8.5,1.0,0.0,0.0,-70.0,689.9999999999998,1.0,0.015782594680786133,100
3,0.1,0.4,0.0,9.166666666666666,1.0,0.0,0.0,490.0,1260.0,1.0,0.024954557418823242,100
4,0.04,1.0,0.0,0.0,1.0,0.0,0.0,70.0,929.9999999999999,1.0,0.015867948532104492,100
5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-130.0,399.99999999999994,1.0,0.012724876403808594,100
6,0.04,0.25,0.0,41.0,1.0,0.0,0.0,220.0,819.9999999999998,1.0,0.022086620330810547,100
7,0.06,0.5,0.0,4.25,1.0,0.0,0.0,380.0,689.9999999999998,1.0,0.014152765274047852,100
8,0.04,0.75,0.0,0.3333333333333333,1.0,0.0,0.0,20.0,300.00000000000006,1.0,0.014288187026977539,100
9,0.01,0.0,0.0,0.0,1.0,0.0,0.0,-210.0,169.9999999999999,1.0,0.01593303680419922,100
10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-370.0,899.9999999999997,1.0,0.019058942794799805,100
11,0.04,0.5,0.0,2.0,1.0,0.0,0.0,30.0,759.9999999999998,1.0,0.01897907257080078,100
12,0.01,1.0,0.0,0.0,1.0,0.0,0.0,-30.0,399.9999999999999,1.0,0.01735711097717285,100
13,0.08,0.25,0.0,28.666666666666668,1.0,0.0,0.0,560.0,919.9999999999998,1.0,0.02221226692199707,100
14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-260.0,729.9999999999998,1.0,0.023784160614013672,100
15,0.03,0.6666666666666666,0.0,15.0,1.0,0.0,0.0,-20.0,339.99999999999994,1.0,0.017330646514892578,100
16,0.06,0.5,0.0,9.0,1.0,0.0,0.0,330.0,899.9999999999999,1.0,0.012758731842041016,100
17,0.04,0.25,0.0,91.0,1.0,0.0,0.0,170.0,399.9999999999999,1.0,0.018950462341308594,100
18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-210.0,240.0,1.0,0.01902318000793457,100
19,0.04,0.75,0.0,19.666666666666668,1.0,0.0,0.0,-20.0,689.9999999999995,1.0,0.022293567657470703,100
