episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.1,0.4,0.0,8.5,1.0,0.0,0.0,730.0,1180.0,1.0,0.00485539436340332,100
1,0.14,0.21428571428571427,0.0,18.333333333333332,1.0,0.0,0.0,910.0,1130.0,1.0,0.0031843185424804688,100
2,0.12,0.3333333333333333,0.0,10.6,1.0,0.0,0.0,750.0,1229.9999999999998,1.0,0.0031752586364746094,100
3,0.04,0.75,0.0,0.3333333333333333,1.0,0.0,0.0,100.0,1230.0,1.0,0.003215312957763672,100
4,0.03,0.0,0.0,0.0,1.0,0.0,0.0,100.0,979.9999999999997,1.0,0.0032193660736083984,100
5,0.03,0.3333333333333333,0.0,40.0,1.0,0.0,0.0,-10.0,1079.9999999999998,1.0,0.0031142234802246094,100
6,0.03,0.0,0.0,0.0,1.0,0.0,0.0,50.0,979.9999999999997,1.0,0.001650094985961914,100
7,0.04,0.25,0.0,17.0,1.0,0.0,0.0,110.0,1129.9999999999998,1.0,0.0015854835510253906,100
8,0.04,0.0,0.0,0.0,1.0,0.0,0.0,220.0,1029.9999999999998,1.0,0.0031914710998535156,100
9,0.01,0.0,0.0,0.0,1.0,0.0,0.0,-80.0,1029.9999999999998,1.0,0.0032291412353515625,100
10,0.06,0.16666666666666666,0.0,10.0,1.0,0.0,0.0,320.0,1029.9999999999998,1.0,0.0016105175018310547,100
11,0.06,0.0,0.0,0.0,1.0,0.0,0.0,450.0,979.9999999999997,1.0,0.004778146743774414,100
12,0.07,0.2857142857142857,0.0,15.75,1.0,0.0,0.0,200.0,1230.0,1.0,0.0031919479370117188,100
13,0.04,0.25,0.0,30.0,1.0,0.0,0.0,10.0,1130.0,1.0,0.004827022552490234,100
14,0.02,0.0,0.0,16.0,1.0,0.0,0.0,-30.0,1029.9999999999998,1.0,0.003641843795776367,100
15,0.05,0.2,0.0,32.5,1.0,0.0,0.0,240.0,1079.9999999999995,1.0,0.004072904586791992,100
16,0.08,0.0,0.0,36.0,1.0,0.0,0.0,670.0,1029.9999999999998,1.0,0.00639033317565918,100
17,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,979.9999999999997,1.0,0.006592750549316406,100
18,0.03,0.3333333333333333,0.0,31.0,1.0,0.0,0.0,120.0,1029.9999999999998,1.0,0.004740476608276367,100
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-250.0,979.9999999999997,1.0,0.00541234016418457,100
