episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,170.0,1029.9999999999998,1.0,0.017637252807617188,100
1,0.1,0.2,0.0,32.0,1.0,0.0,0.0,790.0,1079.9999999999998,1.0,0.020347118377685547,100
2,0.03,0.0,0.0,11.0,1.0,0.0,0.0,140.0,1079.9999999999998,1.0,0.02405714988708496,100
3,0.08,0.375,0.0,5.75,1.0,0.0,0.0,530.0,1180.0,1.0,0.020027875900268555,100
4,0.06,0.0,0.0,32.0,1.0,0.0,0.0,440.0,1079.9999999999998,1.0,0.01934981346130371,100
5,0.04,0.25,0.0,22.5,1.0,0.0,0.0,290.0,1079.9999999999998,1.0,0.01699995994567871,100
6,0.04,0.25,0.0,24.0,1.0,0.0,0.0,180.0,1179.9999999999998,1.0,0.019007444381713867,100
7,0.07,0.2857142857142857,0.0,19.5,1.0,0.0,0.0,380.0,1179.9999999999998,1.0,0.015363454818725586,100
8,0.08,0.375,0.0,19.666666666666668,1.0,0.0,0.0,630.0,1179.9999999999995,1.0,0.014245986938476562,100
9,0.03,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,160.0,1130.0,1.0,0.01500082015991211,100
10,0.04,0.5,0.0,11.666666666666666,1.0,0.0,0.0,180.0,1179.9999999999998,1.0,0.01535940170288086,100
11,0.04,0.25,0.0,99.0,1.0,0.0,0.0,320.0,1029.9999999999998,1.0,0.016039609909057617,100
12,0.05,0.2,0.0,27.5,1.0,0.0,0.0,360.0,1129.9999999999998,1.0,0.0159609317779541,100
13,0.1,0.3,0.0,10.25,1.0,0.0,0.0,680.0,1179.9999999999998,1.0,0.01425790786743164,100
14,0.05,0.4,0.0,0.0,1.0,0.0,0.0,330.0,1180.0,1.0,0.011570453643798828,100
15,0.09,0.1111111111111111,0.0,22.0,1.0,0.0,0.0,650.0,1230.0,1.0,0.015510797500610352,100
16,0.08,0.125,0.0,16.5,1.0,0.0,0.0,660.0,1129.9999999999998,1.0,0.014540433883666992,100
17,0.06,0.0,0.0,0.0,1.0,0.0,0.0,550.0,979.9999999999997,1.0,0.020072460174560547,100
18,0.08,0.0,0.0,22.0,1.0,0.0,0.0,720.0,1029.9999999999998,1.0,0.012332916259765625,100
19,0.07,0.42857142857142855,0.0,16.666666666666668,1.0,0.0,0.0,480.0,1180.0,1.0,0.013224601745605469,100
