episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.14,0.42857142857142855,0.0,7.666666666666667,1.0,0.0,0.0,1120.0,999.9999999999995,1.0,0.0131988525390625,100
1,0.18,0.3333333333333333,0.0,5.571428571428571,1.0,0.0,0.0,1260.0,1170.0,1.0,0.0240018367767334,100
2,0.12,0.6666666666666666,0.0,2.5,1.0,0.0,0.0,860.0,819.9999999999997,1.0,0.007871866226196289,100
3,0.16,0.4375,0.0,4.875,1.0,0.0,0.0,1180.0,1150.0,1.0,0.009420156478881836,100
4,0.16,0.25,0.0,11.8,1.0,0.0,0.0,1300.0,1090.0,1.0,0.009471893310546875,100
5,0.1,0.2,0.0,16.666666666666668,1.0,0.0,0.0,810.0,290.00000000000006,1.0,0.009521484375,100
6,0.09,0.2222222222222222,0.0,9.5,1.0,0.0,0.0,580.0,549.9999999999998,1.0,0.014180660247802734,100
7,0.17,0.4117647058823529,0.0,6.125,1.0,0.0,0.0,1310.0,889.9999999999998,1.0,0.011044740676879883,100
8,0.16,0.3125,0.0,8.666666666666666,1.0,0.0,0.0,1270.0,1069.9999999999998,1.0,0.009458065032958984,100
9,0.15,0.26666666666666666,0.0,10.2,1.0,0.0,0.0,1200.0,879.9999999999998,1.0,0.009382963180541992,100
10,0.11,0.45454545454545453,0.0,4.0,1.0,0.0,0.0,690.0,1119.9999999999998,1.0,0.007915019989013672,100
11,0.13,0.5384615384615384,0.0,4.75,1.0,0.0,0.0,910.0,1240.0,1.0,0.009470939636230469,100
12,0.11,0.5454545454545454,0.0,6.166666666666667,1.0,0.0,0.0,820.0,929.9999999999995,1.0,0.00775599479675293,100
13,0.13,0.46153846153846156,0.0,5.375,1.0,0.0,0.0,780.0,1080.0,1.0,0.007770061492919922,100
14,0.17,0.47058823529411764,0.0,4.1,1.0,0.0,0.0,1200.0,1200.0,1.0,0.012582063674926758,100
15,0.15,0.26666666666666666,0.0,12.5,1.0,0.0,0.0,1280.0,970.0,1.0,0.012871026992797852,100
16,0.15,0.26666666666666666,0.0,17.0,1.0,0.0,0.0,1230.0,899.9999999999998,1.0,0.012904882431030273,100
17,0.16,0.125,0.0,26.0,1.0,0.0,0.0,1440.0,869.9999999999998,1.0,0.011080026626586914,100
18,0.09,0.7777777777777778,0.0,5.0,1.0,0.0,0.0,480.0,1009.9999999999998,1.0,0.01098489761352539,100
19,0.03,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,-20.0,60.000000000000014,1.0,0.017385482788085938,100
