episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.19,0.21052631578947367,0.0,11.0,1.0,0.0,0.0,1580.0,1180.0,1.0,0.0025877952575683594,100
1,0.14,0.14285714285714285,0.0,31.0,1.0,0.0,0.0,1040.0,1079.9999999999998,1.0,0.0015869140625,100
2,0.1,0.1,0.0,23.0,1.0,0.0,0.0,870.0,1029.9999999999998,1.0,0.003382444381713867,100
3,0.16,0.25,0.0,11.2,1.0,0.0,0.0,1170.0,1280.0,1.0,0.0018012523651123047,100
4,0.16,0.1875,0.0,7.666666666666667,1.0,0.0,0.0,1460.0,1129.9999999999998,1.0,0.0038444995880126953,100
5,0.2,0.5,0.0,5.5,1.0,0.0,0.0,1500.0,1480.0,1.0,0.0017027854919433594,100
6,0.1,0.2,0.0,22.5,1.0,0.0,0.0,840.0,1079.9999999999998,1.0,0.001653432846069336,100
7,0.14,0.2857142857142857,0.0,12.25,1.0,0.0,0.0,1050.0,1229.9999999999998,1.0,0.0033905506134033203,100
8,0.16,0.1875,0.0,21.333333333333332,1.0,0.0,0.0,1280.0,1179.9999999999995,1.0,0.001567840576171875,100
9,0.15,0.13333333333333333,0.0,12.0,1.0,0.0,0.0,1080.0,1180.0,1.0,0.0028085708618164062,100
10,0.12,0.0,0.0,0.0,1.0,0.0,0.0,1150.0,979.9999999999997,1.0,0.003312826156616211,100
11,0.1,0.1,0.0,75.0,1.0,0.0,0.0,920.0,1029.9999999999998,1.0,0.0016255378723144531,100
12,0.12,0.3333333333333333,0.0,15.5,1.0,0.0,0.0,930.0,1179.9999999999995,1.0,0.0016887187957763672,100
13,0.09,0.2222222222222222,0.0,31.5,1.0,0.0,0.0,690.0,1079.9999999999998,1.0,0.0032422542572021484,100
14,0.16,0.0625,0.0,21.5,1.0,0.0,0.0,1390.0,1079.9999999999998,1.0,0.003247976303100586,100
15,0.17,0.17647058823529413,0.0,17.666666666666668,1.0,0.0,0.0,1410.0,1130.0,1.0,0.001566171646118164,100
16,0.11,0.2727272727272727,0.0,6.666666666666667,1.0,0.0,0.0,860.0,1129.9999999999998,1.0,0.0016863346099853516,100
17,0.11,0.2727272727272727,0.0,10.5,1.0,0.0,0.0,830.0,1179.9999999999998,1.0,0.003260374069213867,100
18,0.12,0.16666666666666666,0.0,24.0,1.0,0.0,0.0,910.0,1129.9999999999998,1.0,0.0016853809356689453,100
19,0.08,0.125,0.0,25.0,1.0,0.0,0.0,440.0,1079.9999999999998,1.0,0.003224611282348633,100
