episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.075,0.5,0.0,13.0,1.0,0.0,0.0,240.0,984.0,1.0,0.0020008087158203125,80
1,0.1,0.625,0.0,6.0,1.0,0.0,0.0,510.0,1034.0,1.0,0.0019991397857666016,80
2,0.0625,0.2,0.0,60.0,1.0,0.0,0.0,270.0,934.0,1.0,0.0019998550415039062,80
3,0.1125,0.3333333333333333,0.0,11.0,1.0,0.0,0.0,490.0,984.0,1.0,0.001998424530029297,80
4,0.025,1.0,0.0,0.0,1.0,0.0,0.0,-60.0,984.0,1.0,0.0010025501251220703,80
5,0.025,0.0,0.0,0.0,1.0,0.0,0.0,60.0,783.9999999999999,1.0,0.0020079612731933594,80
6,0.0375,0.3333333333333333,0.0,40.0,1.0,0.0,0.0,0.0,884.0,1.0,0.0020742416381835938,80
7,0.0375,0.0,0.0,0.0,1.0,0.0,0.0,110.0,783.9999999999999,1.0,0.001987457275390625,80
8,0.0375,0.0,0.0,6.0,1.0,0.0,0.0,130.0,834.0,1.0,0.001997232437133789,80
9,0.0375,0.0,0.0,0.0,1.0,0.0,0.0,130.0,834.0,1.0,0.0010128021240234375,80
10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-170.0,834.0,1.0,0.001043558120727539,80
11,0.05,0.25,0.0,10.0,1.0,0.0,0.0,180.0,834.0,1.0,0.0019752979278564453,80
12,0.05,0.0,0.0,0.0,1.0,0.0,0.0,260.0,783.9999999999999,1.0,0.0020012855529785156,80
13,0.0625,0.2,0.0,10.666666666666666,1.0,0.0,0.0,90.0,984.0,1.0,0.002602100372314453,80
14,0.0375,0.3333333333333333,0.0,30.0,1.0,0.0,0.0,-30.0,934.0,1.0,0.0020132064819335938,80
15,0.0125,0.0,0.0,0.0,1.0,0.0,0.0,-40.0,783.9999999999999,1.0,0.0020017623901367188,80
16,0.05,0.25,0.0,0.0,1.0,0.0,0.0,280.0,834.0,1.0,0.0009953975677490234,80
17,0.075,0.0,0.0,36.0,1.0,0.0,0.0,480.0,834.0,1.0,0.0009937286376953125,80
18,0.0125,0.0,0.0,0.0,1.0,0.0,0.0,10.0,783.9999999999999,1.0,0.0019898414611816406,80
19,0.0375,0.3333333333333333,0.0,31.0,1.0,0.0,0.0,130.0,834.0,1.0,0.0020017623901367188,80
20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-140.0,783.9999999999999,1.0,0.0019550323486328125,80
21,0.0375,0.0,0.0,0.0,1.0,0.0,0.0,10.0,783.9999999999999,1.0,0.001992464065551758,80
22,0.0125,1.0,0.0,0.0,1.0,0.0,0.0,-150.0,884.0,1.0,0.0019998550415039062,80
23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-140.0,783.9999999999999,1.0,0.0019986629486083984,80
24,0.0375,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,230.0,834.0,1.0,0.003054380416870117,80
25,0.0125,0.0,0.0,0.0,1.0,0.0,0.0,-70.0,834.0,1.0,0.001004934310913086,80
26,0.1,0.25,0.0,30.5,1.0,0.0,0.0,600.0,884.0,1.0,0.001995086669921875,80
27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-190.0,783.9999999999999,1.0,0.0019996166229248047,80
28,0.05,0.25,0.0,20.0,1.0,0.0,0.0,150.0,884.0,1.0,0.0020008087158203125,80
29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-120.0,834.0,1.0,0.0020012855529785156,80
30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-170.0,834.0,1.0,0.000997304916381836,80
31,0.05,0.25,0.0,21.0,1.0,0.0,0.0,150.0,884.0,1.0,0.002496957778930664,80
32,0.05,0.0,0.0,56.0,1.0,0.0,0.0,100.0,884.0,1.0,0.0019996166229248047,80
33,0.05,0.5,0.0,4.5,1.0,0.0,0.0,200.0,884.0,1.0,0.0020062923431396484,80
34,0.0625,0.2,0.0,13.0,1.0,0.0,0.0,300.0,884.0,1.0,0.002027273178100586,80
35,0.0125,0.0,0.0,0.0,1.0,0.0,0.0,-120.0,834.0,1.0,0.0019745826721191406,80
36,0.075,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,260.0,1034.0,1.0,0.0019919872283935547,80
37,0.0875,0.14285714285714285,0.0,13.0,1.0,0.0,0.0,400.0,884.0,1.0,0.0009992122650146484,80
38,0.075,0.3333333333333333,0.0,2.0,1.0,0.0,0.0,370.0,934.0,1.0,0.0019195079803466797,80
39,0.0625,0.2,0.0,0.0,1.0,0.0,0.0,330.0,834.0,1.0,0.0020036697387695312,80
40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-140.0,783.9999999999999,1.0,0.015072107315063477,80
41,0.0625,0.4,0.0,20.5,1.0,0.0,0.0,220.0,934.0,1.0,0.002079486846923828,80
42,0.0875,0.2857142857142857,0.0,18.0,1.0,0.0,0.0,300.0,884.0,1.0,0.0009946823120117188,80
43,0.05,0.0,0.0,0.0,1.0,0.0,0.0,280.0,834.0,1.0,0.0009872913360595703,80
44,0.05,0.0,0.0,6.0,1.0,0.0,0.0,230.0,834.0,1.0,0.0010056495666503906,80
45,0.0625,0.2,0.0,27.5,1.0,0.0,0.0,250.0,884.0,1.0,0.002337217330932617,80
46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-140.0,783.9999999999999,1.0,0.002514362335205078,80
47,0.0125,0.0,0.0,0.0,1.0,0.0,0.0,-250.0,884.0,1.0,0.001980304718017578,80
48,0.05,0.0,0.0,0.0,1.0,0.0,0.0,260.0,783.9999999999999,1.0,0.0008082389831542969,80
49,0.05,0.25,0.0,21.0,1.0,0.0,0.0,180.0,834.0,1.0,0.0019731521606445312,80
